,Year,Race,Sex,Execution Method
1172,2009,1,1,5
1173,2009,1,1,5
1174,2009,2,1,5
1175,2009,1,1,5
1176,2009,1,1,5
1177,2009,2,1,5
1178,2009,2,1,5
1179,2009,5,1,5
1180,2009,2,1,5
1181,2009,1,1,2
1182,2009,2,1,5
1183,2009,2,1,5
1184,2009,2,1,5
1185,2009,1,1,5
1186,2009,1,1,5
1187,2009,1,1,5
1188,2010,2,1,5
1189,2010,2,1,5
1190,2010,1,1,5
1191,2010,1,1,5
1192,2010,2,1,5
1193,2010,2,1,5
1194,2010,1,1,5
1195,2010,5,1,5
1196,2010,1,1,5
1197,2010,1,1,5
1198,2010,1,1,2
1199,2010,2,1,5
1200,2010,2,1,5
1201,2010,1,1,5
1202,2010,5,1,5
1203,2010,1,1,5
1204,2010,1,1,5
1205,2010,1,1,5
1206,2010,5,1,5
1207,2010,1,1,5
1208,2010,1,1,5
1209,2010,2,1,5
1210,2010,5,1,5
1211,2010,1,1,5
1212,2010,2,1,5
1213,2010,1,1,5
1214,2010,1,1,5
1215,2010,1,1,5
1216,2010,1,1,4
1217,2010,1,1,5
1218,2010,2,1,5
1219,2010,2,1,5
1220,2010,1,1,5
1221,2010,2,1,5
1222,2010,1,1,5
1223,2010,5,1,5
1224,2010,2,1,5
1225,2010,1,1,5
1226,2010,1,2,5
1227,2010,1,1,5
1228,2010,1,1,5
1229,2010,1,1,5
1230,2010,2,1,5
1231,2010,3,1,5
1232,2010,1,1,5
1233,2010,1,1,5
1234,2011,2,1,5
1235,2011,1,1,5
1236,2011,2,1,5
1237,2011,2,1,5
1238,2011,1,1,5
1239,2011,1,1,5
1240,2011,1,1,5
